timestamp,latitude,longitude,temperature,humidity,wind_speed,cloud_cover,precipitation
2024-01-15T08:00:00Z,19.0760,72.8777,24.5,72.0,8.2,45.0,0.0
2024-01-15T09:00:00Z,19.0760,72.8777,25.8,68.0,9.1,40.0,0.0
2024-01-15T10:00:00Z,19.0760,72.8777,27.2,64.0,10.3,35.0,0.0
2024-01-15T11:00:00Z,19.0760,72.8777,28.6,60.0,11.5,30.0,0.0
2024-01-15T12:00:00Z,19.0760,72.8777,30.1,56.0,12.8,25.0,0.0
2024-01-15T13:00:00Z,19.0760,72.8777,31.2,52.0,13.2,20.0,0.0
2024-01-15T14:00:00Z,19.0760,72.8777,31.8,50.0,12.9,22.0,0.0
2024-01-15T15:00:00Z,19.0760,72.8777,30.5,55.0,11.5,30.0,0.0
2024-01-15T16:00:00Z,19.0760,72.8777,29.2,60.0,10.0,40.0,0.0
2024-01-15T17:00:00Z,19.0760,72.8777,27.8,65.0,8.5,50.0,0.0
2024-01-15T18:00:00Z,19.0760,72.8777,26.5,70.0,7.2,55.0,0.0
2024-01-15T19:00:00Z,19.0760,72.8777,25.8,74.0,6.0,60.0,0.0
2024-01-15T20:00:00Z,19.0760,72.8777,25.0,78.0,5.2,65.0,0.0
2024-01-15T21:00:00Z,19.0760,72.8777,24.5,80.0,4.8,70.0,0.0
2024-01-15T22:00:00Z,19.0760,72.8777,24.0,82.0,4.5,75.0,0.0
2024-01-15T23:00:00Z,19.0760,72.8777,23.8,84.0,4.2,80.0,0.0
2024-01-16T00:00:00Z,19.0760,72.8777,23.5,85.0,4.0,85.0,0.0
2024-01-16T01:00:00Z,19.0760,72.8777,23.2,86.0,3.8,85.0,0.0
2024-01-16T02:00:00Z,19.0760,72.8777,23.0,87.0,3.5,80.0,0.0
2024-01-16T03:00:00Z,19.0760,72.8777,22.8,87.5,3.2,75.0,0.0
2024-01-16T04:00:00Z,19.0760,72.8777,22.5,88.0,3.0,70.0,0.0
2024-01-16T05:00:00Z,19.0760,72.8777,22.8,87.0,3.5,65.0,0.0
2024-01-16T06:00:00Z,19.0760,72.8777,23.5,84.0,5.0,55.0,0.0
2024-01-16T07:00:00Z,19.0760,72.8777,24.2,80.0,6.5,45.0,0.0
2024-01-16T08:00:00Z,19.0760,72.8777,25.0,76.0,8.0,35.0,0.0
2024-01-16T09:00:00Z,19.0760,72.8777,26.5,70.0,9.5,28.0,0.0
2024-01-16T10:00:00Z,19.0760,72.8777,28.0,65.0,11.0,20.0,0.0
2024-01-16T11:00:00Z,19.0760,72.8777,29.5,60.0,12.5,15.0,0.0
2024-01-16T12:00:00Z,19.0760,72.8777,30.8,55.0,13.5,10.0,0.0
2024-01-16T13:00:00Z,19.0760,72.8777,31.5,52.0,13.0,12.0,0.0
2024-01-16T14:00:00Z,19.0760,72.8777,31.2,54.0,12.0,18.0,0.0
2024-01-16T15:00:00Z,19.0760,72.8777,30.0,58.0,10.5,25.0,0.0
2024-01-16T16:00:00Z,19.0760,72.8777,28.8,63.0,9.0,35.0,0.0
2024-01-16T17:00:00Z,19.0760,72.8777,27.5,68.0,7.5,45.0,0.0
2024-01-16T18:00:00Z,19.0760,72.8777,26.2,73.0,6.5,55.0,0.0
2024-01-16T19:00:00Z,19.0760,72.8777,25.5,77.0,5.5,60.0,0.0
2024-01-16T20:00:00Z,19.0760,72.8777,25.0,80.0,5.0,65.0,0.0
2024-01-16T21:00:00Z,19.0760,72.8777,24.5,82.0,4.5,70.0,0.0
2024-01-16T22:00:00Z,19.0760,72.8777,24.2,83.0,4.2,75.0,0.0
2024-01-16T23:00:00Z,19.0760,72.8777,23.8,85.0,3.8,80.0,0.0
